STATE,LGA,WARD,POLLING UNIT,,APC,PDP,LP,NNPP,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,ANIOBOSHI DEMOSTRATION PRIMARY SCHOOL,,3,4,45,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,CUSTOMARY COURT II,,4,10,52,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OKPUZU OPEN SPACE,,1,11,29,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,MULTIPURPOSE HALL,,10,42,59,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,ICT HALL ISIEKE,,10,8,26,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA UMUAFENE HALL UMUEKE,,5,5,32,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA-IDUMUEZEJE UMUEKA,,8,75,64,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA-ODONKWU -ODONKWU CAMPS AND ENVIRONS,,4,20,52,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGBEOWELE HALL-NWAEZE/ISIUZO/UGBOLU UMUAJA/OGBOLI/ALIGBO,,20,70,125,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,IBUSA POST OFFICE-ISIEKE/MKPIKOLO/UMUOGBELE,,9,75,137,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA II,OGWA ISIEKE -ISIEKE/MKPIKOLO/UMUOBELE,,33,35,110,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OMU BOYS PRI SCHOOL II,,1,4,58,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,IBUSA HIGH COURT,,1,3,22,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGWU-UMJOBIOKPOLOR,,2,23,27,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,KAFAS PARK IBUSA,,5,5,36,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OMU BOYS PRIMARY SCHOOL-ODAUKWU/ODAFE ISIUZO/OBI AJUDUA AND ENVIRONS,,8,11,165,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OLD IBUSA TOWN HALL,,3,3,5,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGWA UMUEZEAGULU,,1,49,41,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGWA UMUEZEKOLO,,3,53,12,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OGBOR IWU HALL,,1,8,39,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,UGWATAKPO PRIMARY SCHOOL II,,0,1,11,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA III,OSHIMILI NORTH NURSERY AND PRIMARY SCHOOL,,3,25,3,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,IKEUGBA OPEN SPACE,,14,21,43,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EZEMESE PRIMARY SCHOOL-UMUISOR VILLAGE II,,12,55,124,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,OGWA UMUDAIKE,,11,37,84,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EZEMESE PRIMARY SCHOOL-OKPONTA VILLAGE III,,8,11,89,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,OGWA UMUDAIKE,,11,37,84,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EBENEBE CAMP,,3,18,25,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,OGWA ODAGWE,,18,43,102,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,ODOR RUBBER CAMP,,8,14,41,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA IV,EZEMESE PRIMARY SCHOOL-OKPONTA VILLAGE I,,6,28,111,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,ANIOKWE HALL-AKWUGBOKO/AKWU-OSE/ANI-AKPAKO/ANIOKWE CAMP AND ENVIRONS II,,2,6,13,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,UMUNWAINA HALL,,3,1,36,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,OGWA UMUNEZE-NKPAKPU/OBIYAM/UMUEGE,,16,56,156,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,UMUEZE TOWN HALL,,2,11,71,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,PROPOSED OMU BOYS SECONDARY SCHOOL,,5,16,61,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,NKATA HALL UMUEZE,,8,13,87,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,ANIOKWE HALL-AKWUGBOKO/AKWU-OSE/ANI-AKPAKO/ANIOKWE CAMP AND ENVIRONS I,,3,6,34,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,IBUSA GIRLS GRAMMAR SCHOOL,,7,7,98,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,ANIOSHE PRIMARY SCHOOL,,33,44,111,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,IBUSA V,OGWA UMUKANYIA OPEN SPACE,,2,10,80,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUOBIAJE COMMUNITY HALL,,3,5,24,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,NNEMIYI OPEN SPACE, ,2,13,103,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,ORUCHI COMPREHENSIVE SECONDARY SCHOOL AMACHAI,,7,8,326,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUOMAKE COMMUNITY HALL,,1,1,31,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,AFIA EKE OPEN SPACE,,3,12,28,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OGBEOWELLE OPEN SPACE,,2,9,82,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OGWA OGBEOSADI HALL,,1,7,80,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUMALE ADA NWAFOR CAMP,,0,0,0,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,BUDGET BANK/ASHIA EKE-IDIGBAOJI/IDIGBAOCHA,,14,68,128,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,AFOR MARKET UGBOLU,,1,1,50,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OBODOGBA COMMUNITY HALL,,7,19,179,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UGBOLU PRIMARY SCHOOL II-OGBE OBI/OGBEIYASE/UGWUNWOSU AND OTHERS,,7,28,113,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OGBE OBI OPEN SPACE,,5,20,58,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UNITY SECONADRY SCHOOL,,0,5,165,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUMALE COMMUNITY HALL,,2,77,20,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,"ASHIA EKE,MILE 5,UGBOLU",,0,0,0,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OGWA OPEN SPACE,,6,17,162,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OBODOGWUGWU OPEN SPACE,,2,6,70,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UGBOLU PRIMARY SCHOOL I-AMACHAI/MILE5/ANWAI GODWIN CAMPS,,11,32,130,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,POST OFFICE OKPANAM,,0,4,489,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OWELLE OPEN SPACE AIRPORT VIEW OKPANAM,,1,2,274,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,HEALTH CENTER-UMUOSUMA/UMUONAHE/ODOGWU AND ASAYA CAMPS,,22,58,183,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,ACHALLA HALL-AMACHA/AGBAHWE CAMP/OGANAIII CAMPS/OGBE OJIE CAMPS,,31,67,341,4,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OGWA AMACHAI,,4,2,32,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,OGANA CAMP AMACHAI,,1,14,7,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,"UGBOLU SECONDARY SCHOOL,UGBOLU",,0,2,46,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UMUGBAH PRIMARY SCHOOL OGBEOZOMA/ANIKPO CAMPS,,24,77,274,2,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,AMACHAI TOWN HALL,,3,10,144,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,"OGBE-OBI COMMUNITY HALL,UGBOLU",,1,4,38,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,MOLUMBA'S COLLEGE,,10,28,150,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,UGBOLU PRIMARY SCHOOL II-OGBE OBI/OGBEIYASE/UGWUNWOSU AND OTHERS,,10,30,126,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,NEW ERA PRIMARY SCHOOL,,4,17,516,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,OKPANAM,AWELLE MARKET SPACE,,8,28,501,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,UKALA,ANIWALO PRIMARY SCHOOL-ANINWALO CAMP,,22,47,65,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,UKALA,OKPUNOR-PRIMARY SCHOOL-UMUTONOR VILLAGE II,,27,36,55,1,,,,,,,,,
DELTA,OSHIMILI-NORTH,UKALA,OKPUNOR-PRIMARY SCHOOL-UMUSIZOR VILLAGE,,22,66,88,3,,,,,,,,,
DELTA,OSHIMILI-NORTH,UKALA,OKPUNOR PRIMARY SCHOOL-UMUTONOR VILLAGE I,,17,52,89,0,,,,,,,,,
DELTA,OSHIMILI-NORTH,UKALA,OKWUTE PRIMARY SCHOOL-UMUTONOR /UMUEZE,,12,37,76,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,EBITEH PRIMARY SCHOOL ISAH OGAWSHI,,16,70,161,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"AZAGBA JUNCTION SQUARE,AZAGBA JUNCTION",,17,32,103,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"OMEZI PRIMARY SCHOOL,OLLOH",,3,68,74,3,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"OLLODU PRIMARY SCHOOL,OLLODU",,11,49,59,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"ISIANWAI PRIMARY SCHOOL,ISIANWA/UZO EDO I",,3,10,68,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"UMUOKWE PRIMARY SCHOOL,ABOH OGWASHI",,15,29,104,4,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"ISIENUGU PRIMARY SCHOOL,OTULU ISIENUGWU/IDUMU-ETITI II",,0,6,62,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"OMEZI PRIMARY SCHOOL,OLLOH CAMPS",,2,28,64,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,OBIUWAJE NEW SQUARE,,1,2,49,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,AZAGBA TOWN HALL,,15,5,175,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"ISIANWAI PRIMARY SCHOOL,ISIANWA/UZO EDO II",,2,20,58,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,ABOH MARKET SQUARE ABOH OGWASHI,,7,12,99,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"ISIENUGU PRIMARY SCHOOL,OTULU ISIENUGWU/IDUMU-ETITI I",,5,8,60,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"ASHINZE PRIMARY SCHOOL,AZAGBA OGWASHI/UMUJEA",,28,6,140,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,AKUNEKEHE OLLO,,0,5,6,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,EDO VILLAGE SQUARE EDO/EDO NEW ROAD,,10,34,112,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU VILLAGE,"ABUISI SQUARE,ABUISI",,2,7,27,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,OKIKAKWU SQUARE,,0,20,15,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,ONIHEP/S AGIDIEHE/IDUMU ODAFE,,5,8,210,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,"ANI-NSHI,ASEI/AGIDIESE II",,6,8,114,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,"OGOMA P/S, OGBE ONICHA II",,6,18,91,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,"ANI-NSHI,UMU-OKWUNI",,6,10,92,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,"UMU-NEZE HALL,UMUOKWE II",,1,43,86,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,OGBE_ISHIAGO VILLAGE SQUARE,,5,12,46,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,DELTA STATE INSTITUTE OF CONTINUING EDUCATION I,,14,10,177,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,UMU-ONICHA/UMU-OLU/UMUOBAHI,,6,17,129,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,AGIDIEHE VILLAGE SQUARE ,,3,14,107,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,"ANI-NSHI,OGBE AHIOR/OGBE ANI",,10,43,127,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,UMU-ONICHA VILLAGE SQUARE,,5,33,138,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,OGWASHI-UKU CENTRAL MARKET II,,11,10,80,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,OGWASHI-UKU II,,4,18,166,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,OGWASHI_UKU II,UKWUOJI MARKET,,6,9,120,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,"ISHE P/S, ISHE QUARTERS III",,6,99,98,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,ISHO PRIMARY SCHOOL,,0,15,51,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,UBULUKU TOWN HALL,,2,14,35,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,UBULU P/S AGBONTA II,,7,40,109,3,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,AKWU HALL AKWU QUARTERS,,15,17,40,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,ABUGBA SQUARE ABUGBA,,1,16,5,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,ANIOMA SQUARE-ANIOMA QUARTERS,,0,11,0,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,"ISHE P/S, ISHE QUARTERS II",,9,18,111,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,ILONOMU P/S AKWU QUARTERS II,,12,20,67,3,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,OGBE-ANI P/S ANI-OKPE JANET II,,11,23,65,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,IJEDINKA P/S ANIEGBELE,,5,2,62,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,OGBE-ANI JANET,,11,24,75,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,OGBE-ANI P/S ONCHA-UKUMOGBE ANI,,10,24,72,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU I,"OGBE-ANI P/S,ONICHA-UKU",,10,24,85,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,OGBIGBO VILLAGE SQUARE,,4,4,23,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,OGIBUO VILLAGE SQUARE,,5,40,95,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,"NEAR VILLAGE HEAD CAMP,ANIUJA",,2,32,3,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,"ST.ANTONY'S COLLEGE,ENUGU-IYI",,28,28,99,14,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,"ANIFEKEDE P/S, ANIFEKADE",,1,19,6,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,ABUEDO P/S OSIGBUDU/ABUADO IV,,9,20,61,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,ABUEDO P/S OSIGBUDU/ABUADO III,,8,32,82,3,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,ABUEDO P/S OSIGBUDU/ABUADO II,,12,50,125,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,"ABUEDO P/S, OSIGBUDU/ABUADO I",,12,45,97,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,IDEGWU P/S OGBEGE/UDU I,,6,25,80,4,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,"AKPAMA VILLAGE, IDUMUBO",,13,25,66,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,"AKPAMA VILLAGE,  AKPAMA/IDUMUBO",,12,42,58,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,UBULU II P/S IDUMUOSAUMA,,3,19,90,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UKU II,IDEGU P/S OGBEGE/UDU III,,11,36,150,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UNOR,"ETITI AMAKA PRIMARY SCHOOL,UMUATE/UBULU UGBO II",,6,84,74,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UNOR,"ETITI AMAKA PRIMARY SCHOOL,UMUATE/UBULU UGBO I",,3,64,60,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UNOR,ASHABA UBULU PRIMARY SCHOOL ASHABA UBULU I,,10,2,9,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,UBULU-UNOR,ASHABA UBULU PRIMARY SCHOOL ASHABA UBULU II,,8,0,9,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"ENEDE I PRIMARY SCHOOL, IKOKOGBE II",,14,36,89,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"OKELIE PRIMARY SCHOOL,OKENU/OGBU UTU II",,18,41,49,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"MILL GATE, JPC QUARTERS",,4,18,63,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"OBI EZEAMAKA PRIMARY SCHOOL,OKENU/OGBE ONICHA II",,7,54,57,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,NKWO MARKET,,3,6,30,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"AZAMU PRIMARY SCHOOL,AZAMU NSUKWA",,3,5,29,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"UMALAGWU COMMUNITY HALL,UMALAGWU QUARTERS I",,7,21,18,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"UMALAGWU COMMUNITY HALL,UMALAGWU QUARTERS II",,6,19,44,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"QUARTER THREE,JPC QUARTERS",,3,10,31,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"COMMUNITY HALL,UNUOMA QUARTERS",,2,32,54,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"OBI EZEAMAKA PRIMARY SCHOOL,OKENU/OGBE ONICHA I",,10,49,107,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"PALACE HALL,IKOKOGBE QUARTERS",,11,92,106,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,OGIDI PRIMARY SCHOOL OGIDI,,1,6,13,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"ENEDE I PRIMARY SCHOOL, IKOKOGBE I",,7,29,92,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,NSUKWA,"OKELIE PRIMARY SCHOOL,OKENU/OGBU UTU I",,26,45,65,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,"EJEME SECONDARY SCHOOL,EJEME ANIOGOR",,0,6,8,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,HEALTH CENTER OGBE-OBIEJEME,,20,31,73,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,EJEME ANIOGOR TOWN HALL,,1,4,5,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,ADOFI PRIMARY SCHOOL UMUOKPALE I,,9,30,9,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,"ANIOGOR PRIMARY SCHOOL,UMUJEME",,10,65,64,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,ANIOGOR PLS EJEME-ANIGOR,,10,71,66,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,"ANIOGOR PRIMARY SCHOOL,UMUJEMEII",,24,53,59,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,EJEME,DUGBE PRIMARY SCHOOL OBI-DUGBO,,20,37,30,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"MGBALAGBE PRIMARY SCHOOL,OGBE ETITI/OGBE-ONISHE I",,26,60,122,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,ISIKITI PRIMARY SCHOOL ISIKITI/UMUOCHI I,,7,45,39,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"UMUEZE/UMUOMAH SQUARE,UMUEZE/UMUOMAH",,19,58,71,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,ISIKITI PRIMARY SCHOOL ISIKITI/UMUOCHI II,,8,56,65,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"ONUIYI/ATUAKPAI SQUARE,ONUIYI/ATUAKPAI",,0,5,12,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"IFITE SECONDARY SCHOOL,ISHEAGU",,3,6,28,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"MGBALAGBE PRIMARY SCHOOL,OGBE ETITI/OGBE-ONISHE II",,19,60,111,2,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"IDUMU ELE SQUARE,IDUMU ELE I",,12,33,21,1,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"UMUOMI PRIMARY SCHOOL,OGBE ACHI/OGBE ANI/OSE II",,8,15,40,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"ISHE PRIMARY SCHOOL, OGBE ANI",,16,47,22,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"UMUOMI PRIMARY SCHOOL,OGBE ACHI/OGBE ANI/OSE I",,4,46,59,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,UMUIYESELE UMUWEDE VILLAGE SQUARE,,3,22,41,0,,,,,,,,,
DELTA,ANIOCHA-SOUTH,ISHEAGU-EWULU,"IGWE PRIMARY SCHOOL,UMUOGBE",,19,39,68,0,,,,,,,,,
